,playerID,nameFirst,nameLast,debut,finalGame,G,AB,R,H,2B,3B,HR,RBI,SB,BB,SO,HBP,SH,SF,Years_Played,Af,Ef,DPf,HoF,Most Valuable Player,AS_games,Gold Glove,Rookie of the Year,World Series MVP,Silver Slugger,G_all,G_p,G_c,G_1b,G_2b,G_3b,G_ss,G_lf,G_cf,G_rf,G_of,G_dh,pre1920,1920-41,1942-45,1946-62,1963-76,1977-92,1993-2009,post2009,G_p_percent,G_c_percent,G_1b_percent,G_2b_percent,G_3b_percent,G_ss_percent,G_lf_percent,G_cf_percent,G_rf_percent,G_of_percent,G_dh_percent,pre1920_percent,1920-41_percent,1942-45_percent,1946-62_percent,1963-76_percent,1977-92_percent,1993-2009_percent,post2009_percent,throws_R,bats_R,debutYear,finalYear,AVE,OBP,Slug_Percent,OPS
1,aaronha01,Hank,Aaron,1954-04-13,1976-10-03,3298,12364,2174,3771,624,98,755,2297.0,240.0,1402,1383.0,32.0,21.0,121.0,23,429.0,144.0,218.0,1.0,1.0,25.0,3.0,0.0,0.0,0.0,3298,0,0,210,43,7,0,315,308,2174,2760,201.0,0,0,0,1350,1948,0,0,0,0.0,0.0,0.06367495451788963,0.013038204972710734,0.002122498483929654,0.0,0.09551243177683444,0.09338993329290479,0.6591873862947241,0.8368708308065494,0.06094602789569436,0.0,0.0,0.0,0.40933899332929047,0.5906610066707095,0.0,0.0,0.0,1,1,1954.0,1976.0,0.30499838240051763,0.3733859397417504,0.5545131025558072,0.9278990422975576
2,aaronto01,Tommie,Aaron,1962-04-10,1971-09-26,437,944,102,216,42,6,13,94.0,9.0,86,145.0,0.0,9.0,6.0,7,113.0,22.0,124.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,437,0,0,232,7,10,0,135,1,2,137,0.0,0,0,0,141,296,0,0,0,0.0,0.0,0.5308924485125858,0.016018306636155607,0.02288329519450801,0.0,0.30892448512585813,0.002288329519450801,0.004576659038901602,0.3135011441647597,0.0,0.0,0.0,0.0,0.32265446224256294,0.6773455377574371,0.0,0.0,0.0,1,1,1962.0,1971.0,0.2288135593220339,0.2889952153110048,0.3273305084745763,0.616325723785581
4,abadan01,Andy,Abad,2001-09-10,2006-04-13,15,21,1,2,0,0,0,0.0,0.0,4,5.0,0.0,0.0,0.0,3,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,0,0,8,0,0,0,0,0,1,1,0.0,0,0,0,0,0,0,15,0,0.0,0.0,0.5333333333333333,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,2001.0,2006.0,0.09523809523809523,0.24,0.09523809523809523,0.3352380952380952
6,abadijo01,John,Abadie,1875-04-26,1875-06-10,12,49,4,11,0,0,0,5.0,1.0,0,3.0,0.0,0.0,0.0,1,3.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0,0,12,0,0,0,0,0,0,0,0.0,12,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1875.0,1875.0,0.22448979591836735,0.22448979591836735,0.22448979591836735,0.4489795918367347
7,abbated01,Ed,Abbaticchio,1897-09-04,1910-09-15,855,3044,355,772,99,43,11,324.0,142.0,289,283.0,33.0,93.0,0.0,9,2368.0,315.0,247.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,857,0,0,0,419,20,388,0,2,1,3,0.0,857,0,0,0,0,0,0,0,0.0,0.0,0.0,0.48891481913652274,0.023337222870478413,0.45274212368728123,0.0,0.002333722287047841,0.0011668611435239206,0.003500583430571762,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1897.0,1910.0,0.2536136662286465,0.3162763804567794,0.3252299605781866,0.641506341034966
9,abbeych01,Charlie,Abbey,1893-08-16,1897-08-19,452,1756,307,493,67,46,19,280.0,93.0,167,122.0,23.0,0.0,0.0,5,92.0,100.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,452,1,0,0,0,0,0,92,185,173,451,0.0,452,0,0,0,0,0,0,0,0.0022123893805309734,0.0,0.0,0.0,0.0,0.0,0.20353982300884957,0.4092920353982301,0.3827433628318584,0.9977876106194691,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1893.0,1897.0,0.28075170842824604,0.3509763617677287,0.4037585421412301,0.7547349039089588
13,abbotje01,Jeff,Abbott,1997-06-10,2001-09-29,233,596,82,157,33,2,18,83.0,6.0,38,91.0,3.0,5.0,7.0,5,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,233,0,0,0,0,0,0,63,81,55,185,12.0,0,0,0,0,0,0,233,0,0.0,0.0,0.0,0.0,0.0,0.0,0.2703862660944206,0.34763948497854075,0.23605150214592274,0.7939914163090128,0.05150214592274678,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1,1997.0,2001.0,0.2634228187919463,0.3050847457627119,0.4161073825503356,0.7211921283130475
15,abbotku01,Kurt,Abbott,1993-09-07,2001-04-13,702,2044,273,523,109,23,62,242.0,22.0,133,571.0,17.0,21.0,12.0,9,1262.0,79.0,275.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,702,0,0,8,173,43,349,32,4,8,43,6.0,0,0,0,0,0,0,702,0,0.0,0.0,0.011396011396011397,0.24643874643874644,0.06125356125356125,0.49715099715099714,0.045584045584045586,0.005698005698005698,0.011396011396011397,0.06125356125356125,0.008547008547008548,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,1,1993.0,2001.0,0.25587084148727984,0.3022002694207454,0.4227005870841487,0.7249008565048941
17,abbotod01,Ody,Abbott,1910-09-10,1910-10-15,22,70,2,13,2,1,0,6.0,3.0,6,20.0,0.0,6.0,0.0,1,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,0,0,0,0,0,0,0,21,0,21,0.0,22,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9545454545454546,0.0,0.9545454545454546,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1910.0,1910.0,0.18571428571428572,0.23170731707317074,0.24285714285714285,0.4745644599303136
20,abercda01,Frank,Abercrombie,1871-10-21,1871-10-21,1,4,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,1,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1871.0,1871.0,0.0,0.0,0.0,0.0
