,playerID,yearID,teamID,stint,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,nameFirst,nameLast,bats,throws,debut,finalGame,pre1920_percent,1920-41_percent,1942-45_percent,1946-62_percent,1963-76_percent,1977-92_percent,1993-2009_percent,post2009_percent,era_1,era_2,era_3,era_4,era_5,era_6,era_7,era_8,decade_1910,decade_1920,decade_1930,decade_1940,decade_1950,decade_1960,decade_1970,decade_1980,decade_1990,decade_2000,decade_2010,throws_R,bats_R,AVE,OBP,Slug_Percent,OPS,debutYear,currentYear,YRSPRO,AB_chg,R_chg,H_chg,2B_chg,3B_chg,HR_chg,RBI_chg,SB_chg,CS_chg,BB_chg,SO_chg,IBB_chg,HBP_chg,SH_chg,SF_chg,GIDP_chg,AVE_chg,OBP_chg,Slug_chg,OPS_chg,KMeans_label
31,aaronha01,1976,ML4,1,85,271,22,62,8,0,10,35.0,0.0,1.0,35,38.0,1.0,0.0,0.0,2.0,8.0,Hank,Aaron,R,R,1954-04-13,1976,0.0,0.0,0.0,0.40933899332929047,0.5906610066707095,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0.22878228782287824,0.31493506493506496,0.36900369003690037,0.6839387549719653,1954,1976,22,-0.41720430107526885,-0.5111111111111111,-0.4311926605504587,-0.5,-1.0,-0.16666666666666663,-0.41666666666666663,0.0,0.0,-0.5,-0.2549019607843137,-0.6666666666666667,-1.0,-1.0,-0.6666666666666667,-0.4666666666666667,-0.024002166627170807,-0.05169552669552657,0.03991949010399187,-0.004371949312167667,6
38,aaronto01,1971,ATL,1,25,53,4,12,2,0,0,3.0,0.0,0.0,3,5.0,1.0,0.0,0.0,0.0,3.0,Tommie,Aaron,R,R,1962-04-10,1971,0.0,0.0,0.0,0.32867132867132864,0.6713286713286714,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0.22641509433962265,0.26785714285714285,0.2641509433962264,0.5320080862533693,1962,1971,9,-0.15873015873015872,0.33333333333333326,-0.07692307692307687,0.0,0.0,-1.0,-0.5714285714285714,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,-0.4,0.09724238026124832,0.10491071428571419,-0.2075471698113207,-0.07598595545467435,6
74,abbated01,1910,BSN,2,52,178,20,44,4,2,0,10.0,2.0,0.0,12,16.0,0.0,0.0,8.0,0.0,0.0,Ed,Abbaticchio,R,R,1897-09-04,1910,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0.24719101123595505,0.29473684210526313,0.29213483146067415,0.5868716735659373,1897,1910,13,1.0459770114942528,0.5384615384615385,1.2000000000000002,0.0,0.0,-1.0,-0.375,0.0,0.0,-0.368421052631579,0.4545454545454546,0.0,0.0,7.0,0.0,0.0,0.07528089887640443,-0.1989203778677463,0.10503175378602836,-0.07183492134709768,2
198,abnersh01,1992,CHA,1,97,208,21,58,10,1,1,16.0,1.0,2.0,12,35.0,2.0,3.0,2.0,3.0,3.0,Shawn,Abner,R,R,1987-09-08,1992,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0.27884615384615385,0.3230088495575221,0.35096153846153844,0.6739703880190606,1987,1992,5,0.808695652173913,0.3999999999999999,2.0526315789473686,1.5,0.0,0.0,2.2,0.0,0.0,0.7142857142857142,0.3999999999999999,-0.5,2.0,1.0,2.0,0.0,0.6877530364372471,0.48344804981973133,0.44144917582417564,0.4612768333817552,0
230,abreubo01,2014,NYN,1,78,133,12,33,9,0,1,14.0,1.0,0.0,20,21.0,0.0,0.0,0.0,2.0,3.0,Bobby,Abreu,L,R,1996-09-01,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.8059950041631974,0.19400499583680267,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0.24812030075187969,0.3419354838709677,0.3383458646616541,0.6802813485326218,1996,2014,18,-0.31794871794871793,-0.5714285714285714,-0.3125,0.125,-1.0,-0.6666666666666667,-0.26315789473684215,-0.8333333333333334,-1.0,-0.4285714285714286,-0.5882352941176471,-1.0,0.0,0.0,0.0,-0.5,0.007988721804511156,-0.05246793626117385,-0.015262035686230524,-0.034321301418323014,3
308,ackledu01,2016,NYA,1,28,61,6,9,0,0,0,4.0,0.0,0.0,8,9.0,0.0,0.0,0.0,1.0,0.0,Dustin,Ackley,L,R,2011-06-17,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0.14754098360655737,0.24285714285714285,0.14754098360655737,0.3903981264637002,2011,2016,5,-0.6720430107526882,-0.7272727272727273,-0.775,-1.0,-1.0,-1.0,-0.7894736842105263,-1.0,-1.0,-0.4285714285714286,-0.7631578947368421,0.0,-1.0,-1.0,-0.6666666666666667,-1.0,-0.3139344262295082,-0.09922077922077921,-0.5964320154291225,-0.3853926433267514,3
397,adamsbe01,1919,PHI,1,78,232,14,54,7,2,1,17.0,4.0,0.0,6,27.0,0.0,0.0,3.0,0.0,0.0,Bert,Adams,B,R,1910-08-30,1919,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0.23275862068965517,0.25210084033613445,0.29310344827586204,0.5452042886119965,1910,1919,9,0.022026431718061623,0.3999999999999999,0.3500000000000001,0.75,0.0,0.0,0.41666666666666674,-0.19999999999999996,0.0,-0.4,0.03846153846153855,0.0,-1.0,-0.6666666666666667,0.0,0.0,0.320905172413793,0.17647058823529416,0.5121473354231973,0.33589763238930237,2
424,adamsbu01,1947,PHI,1,69,182,21,45,11,1,2,15.0,2.0,0.0,26,29.0,0.0,0.0,1.0,0.0,3.0,Buster,Adams,R,R,1939-04-27,1947,0.0,0.0,0.7282608695652174,0.2717391304347826,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0.24725274725274726,0.34134615384615385,0.3516483516483517,0.6929945054945055,1939,1947,8,0.052023121387283267,0.0,0.40625,0.8333333333333333,0.0,-0.6,-0.31818181818181823,-0.33333333333333337,0.0,-0.10344827586206895,0.07407407407407418,0.0,-1.0,-0.75,0.0,0.0,0.3367101648351649,0.09337439903846168,0.14783329877669504,0.1203469087551916,4
439,adamsgl01,1982,TOR,1,30,66,2,17,4,0,1,11.0,0.0,0.0,4,5.0,0.0,0.0,0.0,3.0,3.0,Glenn,Adams,L,R,1975-05-04,1982,0.0,0.0,0.0,0.0,0.19667170953101362,0.8033282904689864,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.25757575757575757,0.2876712328767123,0.36363636363636365,0.6513075965130759,1975,1982,7,-0.7,-0.8461538461538461,-0.6304347826086957,-0.6,0.0,-0.5,-0.5416666666666667,0.0,-1.0,-0.8,-0.8076923076923077,-1.0,0.0,0.0,0.5,-0.7,0.23188405797101463,0.0547945205479452,0.2903225806451615,0.17448910846620258,0
505,adamssp01,1934,CIN,1,87,278,38,70,16,1,0,14.0,2.0,0.0,20,10.0,0.0,2.0,1.0,0.0,2.0,Sparky,Adams,R,R,1922-09-18,1934,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0.2517985611510791,0.30666666666666664,0.31654676258992803,0.6232134292565947,1922,1934,12,-0.483271375464684,-0.35593220338983056,-0.5035460992907801,-0.23809523809523814,0.0,-1.0,-0.36363636363636365,-0.33333333333333337,0.0,-0.5454545454545454,-0.6666666666666667,0.0,0.0,-0.9333333333333333,0.0,-0.8,-0.03923669574978328,-0.04228163992869882,0.01977340283461837,-0.011736129261065598,5
