,y_true,lrpreds,ridgepreds,lassopreds,enetpreds,rfpreds,playerID,nameFirst,nameLast
31,10,9.759977367662852,26.749040676273832,23.732485469765177,14.31272258465439,8.61,aaronha01,Hank,Aaron
38,0,-2.2994992602607893,0.7421498499493735,0.7779660872073562,1.8486129974703287,0.04,aaronto01,Tommie,Aaron
74,0,-2.8225824064853255,-0.07636542346056618,1.1916638945352265,2.4242482374979017,0.29,abbated01,Ed,Abbaticchio
198,1,0.4759722590019261,5.414047885449992,4.848497000644582,7.968749508408138,1.57,abnersh01,Shawn,Abner
230,1,-0.12258965482662851,2.123181001577172,3.7564539685196072,6.472626738784145,1.55,abreubo01,Bobby,Abreu
308,0,-3.6307661811479455,2.8827589857870626,1.5764688967587643,0.6109577564426392,0.1,ackledu01,Dustin,Ackley
397,1,0.6288392607182904,2.591487257464439,2.407253628073975,4.439485938078843,0.37,adamsbe01,Bert,Adams
424,2,2.348358323960887,4.11405822424421,5.9802057907037325,7.49381383147806,2.53,adamsbu01,Buster,Adams
439,1,1.3976409781666288,4.656517014763332,4.084640395721465,4.595880811665365,1.69,adamsgl01,Glenn,Adams
505,0,-1.5501422126702724,3.382286690398689,3.3886105898686223,4.424133286661694,0.52,adamssp01,Sparky,Adams
545,18,19.64529318737505,48.005908037326456,48.6402953177377,28.07426725537719,18.2,adcocjo01,Joe,Adcock
644,8,7.425554324597187,17.050915505319967,16.563568353418823,10.963820973563685,5.2,ageeto01,Tommie,Agee
645,3,8.107773296827894,7.291366045689375,9.252162327317517,5.424835726030036,2.21,ageeto01,Tommie,Agee
658,0,-1.7596878197793877,-0.29068816637057093,0.9678517197628187,2.1970128437181042,0.18,agnewsa01,Sam,Agnew
684,1,1.0858452964836196,2.5871688767412087,1.9970522260380106,3.121997779472732,1.4,aguaylu01,Luis,Aguayo
888,3,9.65650337872076,4.026767817311497,5.562415461106727,4.533979832467197,2.46,aldremi01,Mike,Aldrete
889,3,7.435613754601247,5.423888088140063,6.96835762081619,7.463823428084935,3.11,aldremi01,Mike,Aldrete
916,1,0.39841140703576716,2.3798026587225065,1.8758707673533612,2.816498359354295,0.19,aldrivi01,Vic,Aldridge
928,5,5.772451805080217,13.939382910745152,13.050788415129801,11.704353655637007,3.66,alexada01,Dale,Alexander
959,1,5.55900272332906,3.1920918747013625,3.7653158979575174,4.732153258693405,1.74,alexaga01,Gary,Alexander
984,0,0.5677971271192642,0.5554388506755137,1.1910750433792012,1.5796910038153156,0.34,alexama02,Manny,Alexander
1017,0,-0.07177107544934586,-0.058423504243948265,0.019701060973804196,0.8076663265424466,0.36,alexawa01,Walt,Alexander
1066,1,1.7314559634846765,4.22620214098703,5.415540397239304,7.881900464490943,1.9,alicelu01,Luis,Alicea
1074,3,4.422944675796025,6.374703504978078,6.023153604256249,3.655616421856203,1.63,allanan01,Andy,Allanson
1140,5,7.482408790481155,13.91665137212378,12.817557548797623,11.82261489083892,5.45,allendi01,Dick,Allen
1164,0,-3.516928922629819,-0.9729038428804602,-0.11239753414046749,0.899250444270633,0.12,allenfr01,Frank,Allen
1182,0,0.20909571999742516,-0.16609987469336662,-0.34455973814136254,0.21238199460911478,0.02,allenha02,Hank,Allen
1193,3,3.8289096388323496,6.692035613726911,6.328907565034345,5.582995761331001,3.16,allenje01,Jermaine,Allensworth
1209,0,-1.136230049556236,-0.39434589535288556,-1.4572705762731912,-0.3921096188810047,0.0,allenjo02,Johnny,Allen
1263,2,1.118823575767272,5.118524682978911,4.754116116946377,5.131953819044255,1.58,alleyge01,Gene,Alley
1286,1,0.6063921491958653,2.877282900645003,2.645640696580932,4.597484965354149,1.68,allisbo01,Bob,Allison
1318,0,-1.8895117438608169,1.2918892821127121,1.1773321678835487,2.3120856111213755,0.16,almadme01,Mel,Almada
1319,1,-1.454724154615747,3.2634208395209,2.790158267737545,2.5050884105636078,0.09,almadme01,Mel,Almada
1345,3,2.790648532235643,6.868097765310252,6.14325992299104,5.127109655076331,2.14,almonab01,Abraham,Almonte
1362,0,-0.42641777126440095,0.4120685672921587,0.022913471999362223,0.698437725233652,0.52,almonbi01,Bill,Almon
1400,3,3.2199165688430176,7.751464238316578,8.33851934328716,8.771088734371926,3.32,alomaro01,Roberto,Alomar
1419,0,-2.3087752251273956,0.05103948277198267,-0.5079768777090896,1.1041184502622192,0.16,alomasa01,Sandy,Alomar
1486,0,-0.040245959052716995,0.4513652699793278,1.1153079173100933,4.563759275546229,1.58,alouje01,Jesus,Alou
1503,0,-2.2819809986127013,0.249692841960246,0.44487827258031576,1.4299026502060332,0.18,alouma01,Matty,Alou
1557,0,-2.438774599163177,0.09090440502315555,0.3768793172638434,1.9821359245072916,0.18,altizda01,Dave,Altizer
1668,8,11.934152485464354,15.031791277116376,16.61055667960026,9.642926174688174,6.71,alvarpe01,Pedro,Alvarez
1702,3,3.969791975507441,8.832556874394196,7.54639351866417,4.205557969934346,2.25,alvisma01,Max,Alvis
1714,1,1.860327604951172,2.126048961989688,1.8989046865626271,2.4040560006824174,1.02,alyeabr01,Brant,Alyea
1735,0,-2.499409971059158,-1.469379907979648,-0.7130481816601444,2.39598293723542,0.51,amarari01,Rich,Amaral
1743,3,3.9403266285194896,10.10309565619786,8.789343858455076,8.215486407434755,3.79,amarial01,Alexi,Amarista
1754,0,-6.094499059024472,-0.1109898605912969,-0.5762305142180688,0.48404880688697105,0.12,amaroru01,Ruben,Amaro
1762,1,0.7363629802782169,2.9037605784937837,2.7623615253348435,3.067845788464557,0.81,amaroru02,Ruben,Amaro
1805,0,-4.537279249022969,-0.2719507622057522,-0.13793562643587975,1.7425143984573221,0.09,amezaal01,Alfredo,Amezaga
1806,0,-4.304602717275252,0.0790849857781728,-0.03403186299767835,0.10654890044916332,0.1,amezaal01,Alfredo,Amezaga
1815,1,-0.40931260144220805,4.590005418516568,3.0240085999395587,1.7520381202784314,0.94,amorosa01,Sandy,Amoros
1854,1,0.16352028362554932,1.2831811746800161,-0.6876573643071273,3.6363971007737828,1.07,anderbr01,Brady,Anderson
1918,3,2.683232587854909,7.8404228410103025,7.317098792488992,6.103874729562935,2.49,anderda02,Dave,Anderson
1953,2,3.0888364640696255,6.124622359769776,5.987019850767559,5.127702952393793,2.02,anderga01,Garret,Anderson
1974,0,-3.380527828739102,1.1704677627484434,0.27013905598372023,-0.32073243535478735,0.02,anderji01,Jim,Anderson
1997,0,3.9964772364528267,-0.8173095026744699,4.284809525667106,10.052778848770426,1.12,anderjo01,John,Anderson
2063,1,0.26612516159789334,3.918003989015501,2.6111044232569602,3.378996421965506,0.67,andermi01,Mike,Anderson
2141,0,-0.3642377953799917,1.4049890643155996,1.6555195763324466,4.755340573945872,0.74,andremi01,Mike,Andrews
2156,2,-0.28359710554162537,5.429645067883816,4.811814461929002,4.079806181120729,0.82,andrero01,Rob,Andrews
2231,5,13.784857085291927,9.505912190285867,10.904546620253576,9.34733275593609,4.5,ankieri01,Rick,Ankiel
2232,2,6.73886099408079,3.453368405069951,5.302908032858321,5.184796228228074,2.3,ankieri01,Rick,Ankiel
2272,2,3.330287619918527,3.932204064090148,3.781535387550847,5.729276272251704,1.19,anthoer01,Eric,Anthony
2298,2,1.3669278162049325,8.14496815297148,7.670301165417951,9.268173582847394,3.2,aokino01,Nori,Aoki
2299,0,-2.026314080982159,1.9909426724867663,1.9651631134495178,4.700756202026488,0.64,aokino01,Nori,Aoki
2318,0,3.6093767781365806,12.105286750324602,9.559953466100449,14.715118929120516,3.02,aparilu01,Luis,Aparicio
2386,0,-0.7101529393271231,-0.856149698592426,0.6498568886464158,4.004241579779355,1.19,applilu01,Luke,Appling
2441,0,0.27202348180083047,-0.16379544929084577,0.05279161551081746,0.768493701728155,0.29,archeji01,Jimmy,Archer
2486,6,13.823805015339122,12.47128918511958,13.451545413317511,12.872744029251702,5.51,arencjp01,J. P.,Arencibia
2520,1,0.48963446568579905,3.0511979683630193,1.5585535374024788,2.1579309677623337,0.56,ariasjo01,Joaquin,Arias
2546,11,12.29877862547353,24.163816874174305,21.762724989118954,15.10993000038438,9.47,armasto01,Tony,Armas
2602,0,-2.6684589030696766,0.18348546234760388,0.34370868858689096,2.5759171633582847,0.12,arnolch01,Chris,Arnold
2738,7,4.9187618525977275,22.981099582974352,23.492890030700696,15.125946580690421,3.27,ashburi01,Richie,Ashburn
2755,0,-2.249015862088171,0.2822423423242446,-0.3968791155326725,1.075698226118929,0.12,ashbyal01,Alan,Ashby
2808,5,4.762833898990428,16.162657795975093,14.000830063268683,10.415068264919675,2.06,asprobo01,Bob,Aspromonte
2819,0,0.16473870035022625,0.09710873227567074,0.867182752500808,1.3963634211477727,0.41,asproke01,Ken,Aspromonte
2914,1,0.20668563283196761,2.723794835370261,3.440434718908982,5.044255690269593,1.13,atkinga01,Garrett,Atkins
2958,1,0.015231315367957465,3.234008371481429,2.237344227783372,1.5000193237802586,0.45,auerbri01,Rick,Auerbach
2986,0,-0.4774482161912478,-0.330268883151839,0.1472332960812084,1.5595782169147432,0.11,aukerel01,Elden,Auker
3011,2,2.354745456731719,6.247116534726874,5.849150569127419,5.575161368898733,1.7,aurilri01,Rich,Aurilia
3032,0,-4.1844821631391085,0.2386677730012634,0.3682464991978831,2.423114833727614,0.25,ausmubr01,Brad,Ausmus
3106,3,3.316672615347574,7.302037306216665,6.373726961400476,6.296978078096254,2.86,averiea02,Earl,Averill
3140,0,-3.5609341882946275,-1.1012112653709147,-1.236913192751575,0.39474425319891093,0.1,avilabo01,Bobby,Avila
3141,3,5.684925825074049,6.84359806478082,5.733019526332965,6.040132679455828,2.6,avilabo01,Bobby,Avila
3142,3,2.91392551435676,8.986199908675154,8.388815343568277,7.024160778009518,2.31,avilabo01,Bobby,Avila
3162,1,-0.9018182160601602,4.728135368488743,3.433343954795548,3.436617406704874,0.52,avilemi01,Mike,Aviles
3195,2,6.356289536648362,8.69728228239293,8.34434660404608,7.408068342229053,3.21,ayalabe01,Benny,Ayala
3229,7,4.713298550164529,17.262732933277697,16.694582880687218,11.68278156040481,5.35,aybarer01,Erick,Aybar
3245,6,9.56342793824565,13.346521450537928,16.336058665295155,16.9626858923015,8.66,aybarwi01,Willy,Aybar
3379,2,1.800179738903633,6.860795601549173,6.608823249295129,6.319320118596248,1.8,baergca01,Carlos,Baerga
3416,0,-3.3220667754667166,0.1822582573003606,0.25253524355215706,-0.8621955941980337,0.0,bagbyji01,Jim,Bagby
3426,0,-0.4706025757332892,0.33038549437402676,0.6172791165512139,1.4543850926551638,0.28,bagbyji02,Jim,Bagby
3443,3,4.033926267139218,6.500354650269716,6.846394651780041,8.55063207066862,3.69,bagweje01,Jeff,Bagwell
3506,4,4.420311646743105,9.74578397164148,7.245985052277893,5.62131832493127,2.98,bailebo01,Bob,Bailey
3597,0,-3.483754168727869,0.5824857722263195,0.2557637897177143,1.450916802318531,0.24,bailobo01,Bob,Bailor
3624,0,-1.5216392836970014,2.177592196742167,0.9022784780751012,1.188778272853356,0.12,baineha01,Harold,Baines
3680,0,-0.8872477338881717,0.8198809473893354,0.34762627714058514,0.3613064319052173,0.13,bakerbi01,Bill,Baker
3716,4,3.2470563176205465,12.146324282839624,10.982565819477946,9.1788180543038,2.59,bakerdu01,Dusty,Baker
3745,7,6.858091017830362,14.317270996507993,15.760441830671084,9.954220700931053,5.81,bakerfr01,Home Run,Baker
3786,3,5.078234707733571,5.846440575927342,6.167891557605165,5.8120593085341685,2.89,bakerje03,Jeff,Baker
3793,0,1.202788550724628,1.4010043996864416,2.404337347129416,7.06312067338499,1.65,bakerjo01,John,Baker
3842,3,3.0105677237270476,7.538986885900534,7.229172428429038,6.285693941888139,2.87,bakopa01,Paul,Bako
3993,0,-3.1360972686613406,-0.7340019795787365,-0.22011639591696497,1.2941744372690698,0.08,ballne01,Neal,Ball
