,y_true,lrpreds,ridgepreds,lassopreds,enetpreds,rfpreds,playerID,nameFirst,nameLast
31,35.0,35.285377502441406,91.21297421406865,80.24011344140752,68.6881468742828,32.51,aaronha01,Hank,Aaron
38,3.0,7.190159797668457,11.067758555080704,11.76425054645641,15.215988664443493,3.5,aaronto01,Tommie,Aaron
74,10.0,17.93484401702881,28.057115784925585,31.391177313849873,27.5826700999769,16.31,abbated01,Ed,Abbaticchio
198,16.0,20.730398178100586,41.621459536515964,42.566313094396236,42.41807091739045,18.99,abnersh01,Shawn,Abner
230,14.0,15.354284286499023,29.31607278180454,31.16396604403794,34.30688458314373,14.84,abreubo01,Bobby,Abreu
308,4.0,-0.637242317199707,10.120399000670542,10.274956585067258,10.505316624329748,2.86,ackledu01,Dustin,Ackley
397,17.0,18.497687339782715,30.590695016912534,33.50504423168209,31.58233882322842,15.16,adamsbe01,Bert,Adams
424,15.0,20.127881050109863,40.82252008664279,42.177979095259026,42.726436915643234,21.13,adamsbu01,Buster,Adams
439,11.0,11.857926368713379,26.609483828483707,26.376544618779644,27.36108586391874,9.16,adamsgl01,Glenn,Adams
505,14.0,26.628732681274414,48.320666823386844,48.670960602079944,45.58382271739319,24.02,adamssp01,Sparky,Adams
545,48.0,51.43735885620117,128.5839702304645,110.52742238277438,125.24289551460686,52.14,adcocjo01,Joe,Adcock
644,15.0,22.970526695251465,61.682732103318614,55.131633610541705,51.62526575931719,23.61,ageeto01,Tommie,Agee
645,7.0,7.3143463134765625,23.232113812048134,18.847352658793795,29.09063712905466,11.63,ageeto01,Tommie,Agee
658,10.0,15.654207229614258,21.589873654452177,24.4966399653334,26.452205903902996,13.91,agnewsa01,Sam,Agnew
684,8.0,10.88644027709961,26.150875286945467,25.299836155948725,27.967978394812103,11.1,aguaylu01,Luis,Aguayo
888,8.0,-0.22627639770507812,18.052976874690344,17.808604981844354,20.61205356245841,8.09,aldremi01,Mike,Aldrete
889,12.0,7.880754470825195,21.180522737319535,23.428802222434236,28.070447316941042,11.46,aldremi01,Mike,Aldrete
916,4.0,12.633113861083984,13.782902261064216,14.999481239846308,16.465318193590726,5.79,aldrivi01,Vic,Aldridge
928,40.0,33.83152389526367,87.8890975381451,81.68660913814705,62.778090098110724,29.66,alexada01,Dale,Alexander
959,6.0,5.103564262390137,16.9370477616661,16.009787603071445,22.652295909632382,5.67,alexaga01,Gary,Alexander
984,4.0,2.800933837890625,10.234159421204232,10.886350362060028,13.75430983648365,4.1,alexama02,Manny,Alexander
1017,4.0,6.965505599975586,10.412431338634079,13.88996282326153,15.001575862941671,4.18,alexawa01,Walt,Alexander
1066,23.0,16.73883056640625,33.77495969557505,34.01961788186882,36.43246957625287,20.06,alicelu01,Luis,Alicea
1074,10.0,5.478946685791016,22.450188787980174,21.815175764676983,20.681803186246665,8.97,allanan01,Andy,Allanson
1140,31.0,21.92321014404297,60.35076854250792,54.091274160024696,48.75747068090081,21.08,allendi01,Dick,Allen
1164,5.0,3.6381702423095703,4.318190101220964,5.64056300812252,9.841719526091925,2.98,allenfr01,Frank,Allen
1182,0.0,0.3113384246826172,7.980408679641229,9.586856892786024,10.04338432450885,2.3,allenha02,Hank,Allen
1193,9.0,7.439908027648926,24.835437932804197,24.89122012556758,25.53877096316748,10.99,allenje01,Jermaine,Allensworth
1209,0.0,4.042882919311523,7.215104025855236,6.92877710628505,7.222628848883851,0.76,allenjo02,Johnny,Allen
1263,8.0,13.988109588623047,36.44728009974462,31.569718722355205,32.40094814992549,15.88,alleyge01,Gene,Alley
1286,7.0,7.6280012130737305,18.432944399983295,17.140732925789308,24.195966029420966,10.42,allisbo01,Bob,Allison
1318,3.0,11.71814250946045,16.850888481320204,17.751708092846975,19.597913071648023,8.14,almadme01,Mel,Almada
1319,7.0,14.300374031066895,24.33797624353269,24.122072240753198,23.35310359662931,10.31,almadme01,Mel,Almada
1345,9.0,8.094832420349121,26.123970222800452,28.129149195564935,28.65569304922686,11.64,almonab01,Abraham,Almonte
1362,1.0,-1.1764612197875977,6.443798558246272,7.026458105963616,10.506138738189424,2.53,almonbi01,Bill,Almon
1400,16.0,15.363725662231445,33.04329815658902,32.96019102687778,38.49661650022623,17.18,alomaro01,Roberto,Alomar
1419,1.0,4.553065299987793,9.28946581237064,10.27772383804929,11.642238703115815,2.69,alomasa01,Sandy,Alomar
1486,10.0,8.665980339050293,11.590237746599016,13.833890036899863,21.34482335053343,8.16,alouje01,Jesus,Alou
1503,3.0,8.270489692687988,16.888088015093235,16.382441152147145,16.764429538114268,6.63,alouma01,Matty,Alou
1557,4.0,11.317059516906738,13.419669267922618,16.564339600001162,21.070690774743092,8.52,altizda01,Dave,Altizer
1668,18.0,9.253944396972656,41.00392357192853,42.70030967333628,34.88087879633231,14.51,alvarpe01,Pedro,Alvarez
1702,12.0,8.587935447692871,27.111308633192156,25.094576191878275,22.546165476476407,9.25,alvisma01,Max,Alvis
1714,2.0,0.7165193557739258,9.915825775193447,10.388465012232135,14.273847138492584,4.05,alyeabr01,Brant,Alyea
1735,6.0,3.61920166015625,10.489647953921029,12.378607781307991,18.417946268111386,6.48,amarari01,Rich,Amaral
1743,19.0,13.292098045349121,35.505183700229765,35.8198254783905,35.44337040049045,15.34,amarial01,Alexi,Amarista
1754,1.0,4.902829170227051,9.370743967732782,9.749873906528798,11.817697122623947,3.18,amaroru01,Ruben,Amaro
1762,10.0,10.342575073242188,24.039745625718684,24.84197238503583,22.988811996209616,9.79,amaroru02,Ruben,Amaro
1805,2.0,4.981992721557617,9.280968552211057,11.538632548367737,14.228343130778018,2.92,amezaal01,Alfredo,Amezaga
1806,2.0,0.38178157806396484,6.7163433443945095,8.796436605482793,9.049156022502622,1.94,amezaal01,Alfredo,Amezaga
1815,7.0,1.9653987884521484,16.103336771270477,14.91037083341432,14.442601221882548,5.66,amorosa01,Sandy,Amoros
1854,5.0,3.416454315185547,18.1997115526206,19.788137971741673,23.826744426463826,8.93,anderbr01,Brady,Anderson
1918,8.0,14.954361915588379,30.103273943454653,28.722073022202768,33.906938734485145,15.01,anderda02,Dave,Anderson
1953,12.0,13.57519817352295,31.759342920347432,32.50985790710144,29.214896526546,13.8,anderga01,Garret,Anderson
1974,1.0,0.42726612091064453,5.713098656375308,7.538171022902937,7.875426309941808,1.6,anderji01,Jim,Anderson
1997,47.0,28.578429222106934,48.84946192491477,55.7515568055387,56.00442172080688,34.23,anderjo01,John,Anderson
2063,2.0,6.436653137207031,19.338617918413906,17.522883191201284,21.605033261133897,8.93,andermi01,Mike,Anderson
2141,10.0,12.49445629119873,28.28683043428976,25.629838085706318,29.96974700209467,15.57,andremi01,Mike,Andrews
2156,13.0,17.72838020324707,36.87712692983476,36.62249640737473,33.849123605907636,15.24,andrero01,Rob,Andrews
2231,11.0,3.5872764587402344,25.94407493478036,26.202111845729085,26.57059340466764,11.81,ankieri01,Rick,Ankiel
2232,7.0,3.3507518768310547,16.435197658495603,17.625787834934364,21.582436335284484,9.25,ankieri01,Rick,Ankiel
2272,5.0,7.068490982055664,21.86876012381789,21.52672827044562,26.078768941195257,12.16,anthoer01,Eric,Anthony
2298,19.0,24.536765098571777,50.13259069909745,50.49455931044807,53.723408200725856,27.44,aokino01,Nori,Aoki
2299,8.0,8.709768295288086,19.0659272788497,19.57401386061299,25.507215328493718,10.72,aokino01,Nori,Aoki
2318,49.0,42.146748542785645,89.45075345376779,81.32850695651676,74.49787994483077,35.46,aparilu01,Luis,Aparicio
2386,13.0,17.228805541992188,37.85825545225121,31.839943132549358,32.65267996276238,15.01,applilu01,Luke,Appling
2441,3.0,8.358963012695312,12.02635179230034,15.404910980101164,15.505753437828403,5.75,archeji01,Jimmy,Archer
2486,17.0,10.753188133239746,32.55392986740281,37.089661893374554,37.63329643931804,15.25,arencjp01,J. P.,Arencibia
2520,4.0,3.0890722274780273,12.22618290915581,14.30119678911506,14.210017052849942,3.85,ariasjo01,Joaquin,Arias
2546,30.0,31.10777759552002,79.17720103886938,75.22685601464043,64.5071024562491,29.49,armasto01,Tony,Armas
2602,5.0,6.702031135559082,16.306904083946158,15.695330001052497,17.54232459599178,5.51,arnolch01,Chris,Arnold
2738,28.0,36.79812049865723,85.54602061399581,77.34048687735606,76.94030644192809,34.32,ashburi01,Richie,Ashburn
2755,3.0,4.8891096115112305,15.593600471981865,14.419438109909272,15.31174472334585,4.67,ashbyal01,Alan,Ashby
2808,33.0,30.85065746307373,72.82058507860722,64.06068377074949,56.88009432885002,32.17,asprobo01,Bob,Aspromonte
2819,4.0,-0.37908458709716797,7.272118944282482,8.068951819371385,12.972119731841104,4.07,asproke01,Ken,Aspromonte
2914,9.0,11.161317825317383,24.23294974228436,26.389310798854815,27.77360289150539,11.77,atkinga01,Garrett,Atkins
2958,6.0,7.73575496673584,17.17533113006046,18.40242671489996,17.73530512819776,7.43,auerbri01,Rick,Auerbach
2986,4.0,8.456681251525879,10.678413573035225,10.909110066864812,16.112579922741787,4.98,aukerel01,Elden,Auker
3011,16.0,12.101800918579102,30.347751569076387,30.67387395819584,27.829732182904635,12.16,aurilri01,Rich,Aurilia
3032,2.0,5.365856170654297,11.748068579465887,12.45825611835776,16.621058698053382,5.34,ausmubr01,Brad,Ausmus
